us,Red,IR,Ratio,Ambient,Vel,Accel,Notes
481988823,90,243,0.3704,1618,0.0093,0.0143,
482303617,90,243,0.3704,1618,0.0093,0.0143,
482366285,90,243,0.3704,1618,0.0093,0.0143,
482490285,90,243,0.3704,1618,0.0093,0.0143,
482552286,90,243,0.3704,1618,0.0093,0.0143,
482925595,90,243,0.3704,1618,0.0093,0.0143,
483174285,90,243,0.3704,1618,0.0093,0.0143,
483362287,90,243,0.3704,1618,0.0093,0.0143,
483426285,90,243,0.3704,1618,0.0093,0.0143,
483487285,90,243,0.3704,1618,0.0093,0.0143,
483551515,55,166,0.3313,1717,-0.0257,0.1162,
483614296,55,166,0.3313,1717,-0.0257,0.1162,
483675286,55,166,0.3313,1717,-0.0257,0.1162,
483865813,55,166,0.3313,1717,-0.0257,0.1162,
483927287,123,380,0.3237,965,-0.1589,-0.0466,
483988292,238,532,0.4474,1062,0.0124,0.0171,
484174096,238,532,0.4474,1062,0.0124,0.0171,
484237285,238,532,0.4474,1062,0.0124,0.0171,
484301285,238,532,0.4474,1062,0.0124,0.0171,
484362286,238,532,0.4474,1062,0.0124,0.0171,
484426289,238,532,0.4474,1062,0.0124,0.0171,
484491313,238,532,0.4474,1062,0.0124,0.0171,
484552252,238,532,0.4474,1062,0.0124,0.0171,
484614289,238,532,0.4474,1062,0.0124,0.0171,
484865290,208,407,0.5111,1487,0.4978,0.0941,
484927705,208,407,0.5111,1487,0.4978,0.0941,
484989289,208,407,0.5111,1487,0.4978,0.0941,
485051289,208,407,0.5111,1487,0.4978,0.0941,
485115286,208,407,0.5111,1487,0.4978,0.0941,
485426289,208,407,0.5111,1487,0.4978,0.0941,
485488296,208,407,0.5111,1487,0.4978,0.0941,
485549286,214,371,0.5768,997,-0.025,0.0069,
485611285,214,371,0.5768,997,-0.025,0.0069,
485741285,106,262,0.4046,1472,0.1036,0.0307,
485803289,106,262,0.4046,1472,0.1036,0.0307,
485865290,188,356,0.5281,1563,0.0338,0.0055,
485928296,188,356,0.5281,1563,0.0338,0.0055,
486176287,54,153,0.3529,1545,0.0454,0.0055,
486371291,54,153,0.3529,1545,0.0454,0.0055,
486434286,54,153,0.3529,1545,0.0454,0.0055,
486496296,54,153,0.3529,1545,0.0454,0.0055,
486746296,54,153,0.3529,1545,0.0454,0.0055,
486808290,54,153,0.3529,1545,0.0454,0.0055,
486870290,54,153,0.3529,1545,0.0454,0.0055,
486936586,96,358,0.2682,1536,-0.0645,0.0037,
487186285,96,358,0.2682,1536,-0.0645,0.0037,
487250293,96,358,0.2682,1536,-0.0645,0.0037,
487312286,96,358,0.2682,1536,-0.0645,0.0037,
487373287,96,358,0.2682,1536,-0.0645,0.0037,
487436286,96,358,0.2682,1536,-0.0645,0.0037,
487563336,96,358,0.2682,1536,-0.0645,0.0037,
487626294,96,358,0.2682,1536,-0.0645,0.0037,
487687822,96,358,0.2682,1536,-0.0645,0.0037,
